Code Insee;Code Postal;Ville;Nom Ville long;;;;;Cedex
69001;69170;AFFOUX;AFFOUX;69;E;01.01.0001;25.10.199325.10.1993;
54005;54740;AFFRACOURT;AFFRACOURT;54;E;01.01.0001;25.10.199325.10.1993;
62010;62380;AFFRINGUES;AFFRINGUES;62;E;01.01.0001;25.10.199325.10.1993;
31001;31230;AGASSAC;AGASSAC;31;E;01.01.0001;25.10.199325.10.1993;
83920;83530;AGAY;AGAY;83;E;01.01.0001;25.10.199310.01.1994;
34003;34300;AGDE;AGDE;34;E;01.01.0001;25.10.199325.10.1993;
34003;34301;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34302;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34303;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34304;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34305;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34306;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34307;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34308;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34309;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34551;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34003;34552;AGDE;AGDE CEDEX;34;E;01.01.0001;28.05.200328.05.2003;C
34004;34210;AGEL;AGEL;34;E;01.01.0001;25.10.199325.10.1993;
47001;47000;AGEN;AGEN;47;E;01.01.0001;25.10.199325.10.1993;
47001;47001;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47002;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47003;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47004;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47005;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47006;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47007;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47008;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47009;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47013;AGEN;AGEN CEDEX 9;47;E;01.01.0001;13.08.201013.08.2010;C
47001;47020;AGEN;AGEN CEDEX 9;47;E;01.01.0001;13.08.201013.08.2010;C
47001;47023;AGEN;AGEN CEDEX 9;47;E;01.01.0001;13.08.201013.08.2010;C
47001;47030;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47031;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47032;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47033;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47034;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47035;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47036;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47037;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47038;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47039;AGEN;AGEN CEDEX;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47901;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47902;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47903;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47904;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47905;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47906;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47907;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47908;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
47001;47909;AGEN;AGEN CEDEX 9;47;E;01.01.0001;28.05.200328.05.2003;C
