NAF rév. 2, 2008 - Niveau 4 - Liste des classes;;Statut des activités par classe NAF;REMARQUES;Potentiel marché;NOMBRE ;;;;REPARTITION ;;;
Code;Libellé;;;;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés;0 salarié;< à 6 salariés;< à 10 salariés;< 20 salariés
46.13;Intermédiaires du commerce en bois et matériaux de construction;R;;1144;777;1054;1101;1113;0,679195804;0,921328671;0,962412587;0,972902098
46.14;Intermédiaires du commerce en machines, équipements industriels, navires et avions;M;;1268;814;1133;1180;1229;0,641955836;0,893533123;0,930599369;0,969242902
46.15;Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;A;;840;601;791;815;831;0,71547619;0,941666667;0,970238095;0,989285714
46.16;Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir;M;;1563;1084;1496;1525;1550;0,693538068;0,957133717;0,97568778;0,991682662
46.17;Intermédiaires du commerce en denrées, boissons et tabac;M;;2639;1756;2383;2471;2536;0,6654;0,903;0,9363;0,961
46.18;Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;M;;15645;13074;15041;15291;15494;0,835666347;0,961393416;0,977372963;0,990348354
46.19;Intermédiaires du commerce en produits divers;R;;24775;22393;24288;24516;24622;0,904;0,9803;0,989;0,994
46.21;Commerce de gros de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;R;;2683;1190;1972;2173;2399;0,443533358;0,734998136;0,809914275;0,894148341
46.22;Commerce de gros de fleurs et plantes;A;;975;395;791;880;932;0,405128205;0,811282051;0,902564103;0,955897436
46.23;Commerce de gros d'animaux vivants;R;;2558;1397;2321;2428;2492;0,546129789;0,907349492;0,949179046;0,974198593
46.24;Commerce de gros de cuirs et peaux;R;;172;62;138;157;165;0,360465116;0,802325581;0,912790698;0,959302326
46.31;Commerce de gros de fruits et légumes;A;;3603;1265;2399;2847;3250;0,351096309;0,665834027;0,790174854;0,902026089
46.32;Commerce de gros de viandes et de produits à base de viande;A;;1473;511;943;1120;1305;0,347;0,6402;0,7603;0,886
46.33;Commerce de gros de produits laitiers, œufs, huiles et matières grasses comestibles;A;;936;376;568;651;755;0,401709402;0,606837607;0,695512821;0,806623932
46.34;Commerce de gros de boissons;A;Pour le commerce de gros, l'acceptation est soumise au respect des conditions de souscriptions décrites dans le manuel produit MP;6546;3563;5474;5859;6190;0,544301864;0,836235869;0,895050412;0,945615643
46.35;Commerce de gros de produits à base de tabac;A;;35;9;18;20;26;0,257142857;0,514285714;0,571428571;0,742857143
46.36;Commerce de gros de sucre, chocolat et confiserie;A;;339;146;248;280;308;0,430678466;0,731563422;0,825958702;0,908554572
46.37;Commerce de gros de café, thé, cacao et épices;A;;274;139;221;241;258;0,50729927;0,806569343;0,879562044;0,941605839
46.38;Commerce de gros d'autres produits alimentaires, y compris poissons, crustacés et mollusques;M;;4355;2226;3419;3762;4080;0,511;0,785;0,864;0,937
46.39;Commerce de gros non spécialisé de denrées, boissons et tabac;R;;2524;1333;1975;2148;2310;0,528;0,7824;0,851;0,915
46.41;Commerce de gros de textiles;A;;2510;1477;2168;2321;2420;0,588446215;0,86374502;0,924701195;0,964143426
